Battery 1,Battery 2,Battery 3,Battery 4,Battery 5,Battery 6,Battery 7
Difference percentage
0.53%,0.29%,0.26%,0.67%,1.09%,0.48%,4.14%
Error per samples
0.30ºC,0.00ºC,0.30ºC,0.50ºC,0.40ºC,0.30ºC,0.30ºC
1.35ºC,1.52ºC,2.03ºC,1.41ºC,1.77ºC,1.52ºC,2.24ºC
0.97ºC,1.30ºC,1.09ºC,0.97ºC,1.35ºC,1.22ºC,2.15ºC
0.76ºC,1.36ºC,1.12ºC,1.04ºC,1.51ºC,1.33ºC,2.84ºC
0.93ºC,1.42ºC,1.14ºC,1.36ºC,1.57ºC,2.06ºC,2.71ºC
1.65ºC,1.84ºC,1.90ºC,1.86ºC,2.17ºC,2.07ºC,2.62ºC
0.83ºC,1.05ºC,1.27ºC,1.35ºC,1.03ºC,1.06ºC,1.00ºC
0.88ºC,0.94ºC,1.25ºC,1.15ºC,0.97ºC,0.84ºC,0.55ºC
0.61ºC,1.02ºC,1.71ºC,1.42ºC,0.98ºC,0.81ºC,0.38ºC
0.33ºC,0.48ºC,1.14ºC,1.08ºC,0.65ºC,0.65ºC,0.30ºC
0.41ºC,0.31ºC,1.53ºC,0.80ºC,1.10ºC,0.86ºC,0.18ºC
0.47ºC,0.81ºC,1.67ºC,1.39ºC,0.61ºC,0.72ºC,0.26ºC
0.01ºC,0.02ºC,0.95ºC,0.72ºC,0.48ºC,0.44ºC,0.64ºC
0.04ºC,0.01ºC,0.05ºC,0.19ºC,0.22ºC,0.10ºC,0.97ºC
0.14ºC,0.08ºC,0.07ºC,0.18ºC,0.28ºC,0.12ºC,1.07ºC
